,id,name,last_modified
0,1011334,3-D Man,2014-04-29T14:18:17-0400
1,1017100,A-Bomb (HAS),2013-09-18T15:54:04-0400
2,1009144,A.I.M.,2013-10-17T14:41:30-0400
3,1010699,Aaron Stack,1969-12-31T19:00:00-0500
4,1009146,Abomination (Emil Blonsky),2012-03-20T12:32:12-0400
5,1016823,Abomination (Ultimate),2012-07-10T19:11:52-0400
6,1009148,Absorbing Man,2013-10-24T14:32:08-0400
7,1009149,Abyss,2014-04-29T14:10:43-0400
8,1010903,Abyss (Age of Apocalypse),1969-12-31T19:00:00-0500
9,1011266,Adam Destine,1969-12-31T19:00:00-0500
10,1010354,Adam Warlock,2013-08-07T13:49:06-0400
11,1010846,Aegis (Trey Rollins),1969-12-31T19:00:00-0500
12,1017851,Aero (Aero),2021-08-27T17:52:34-0400
13,1012717,Agatha Harkness,2021-08-06T11:30:56-0400
14,1011297,Agent Brand,2013-10-24T13:09:30-0400
15,1011031,Agent X (Nijo),1969-12-31T19:00:00-0500
16,1009150,Agent Zero,1969-12-31T19:00:00-0500
17,1011198,Agents of Atlas,2016-02-03T10:25:22-0500
18,1011175,Aginar,1969-12-31T19:00:00-0500
19,1011136,Air-Walker (Gabriel Lan),1969-12-31T19:00:00-0500
20,1011176,Ajak,1969-12-31T19:00:00-0500
21,1010870,Ajaxis,1969-12-31T19:00:00-0500
22,1011194,Akemi,1969-12-31T19:00:00-0500
23,1011170,Alain,1969-12-31T19:00:00-0500
24,1009240,Albert Cleary,1969-12-31T19:00:00-0500
25,1011120,Albion,1969-12-31T19:00:00-0500
26,1010836,Alex Power,2011-10-27T09:57:58-0400
27,1010755,Alex Wilder,1969-12-31T19:00:00-0500
28,1011214,Alexa Mendez,1969-12-31T19:00:00-0500
29,1009497,Alexander Pierce,1969-12-31T19:00:00-0500
30,1014990,Alice,2010-11-18T16:01:44-0500
31,1009435,Alicia Masters,1969-12-31T19:00:00-0500
32,1010370,Alpha Flight,2013-10-24T13:09:22-0400
33,1011324,Alpha Flight (Ultimate),1969-12-31T19:00:00-0500
34,1011164,Alvin Maker,1969-12-31T19:00:00-0500
35,1011227,Amadeus Cho,2013-08-07T13:50:56-0400
36,1009567,Amanda Sefton,1969-12-31T19:00:00-0500
37,1011382,Amazoness,1969-12-31T19:00:00-0500
38,1011361,American Eagle (Jason Strongbow),1969-12-31T19:00:00-0500
39,1009151,Amiko,1969-12-31T19:00:00-0500
40,1010672,Amora,1969-12-31T19:00:00-0500
41,1010673,Amphibian (Earth-712),1969-12-31T19:00:00-0500
42,1010905,Amun,1969-12-31T19:00:00-0500
43,1009152,Ancient One,1969-12-31T19:00:00-0500
44,1016824,Ancient One (Ultimate),2012-07-10T19:15:49-0400
45,1011684,Angel (Angel Salvadore),2021-08-19T00:06:46-0400
46,1011396,Angel (Thomas Halloway),2014-03-05T13:14:48-0500
47,1011338,Angel (Ultimate),2014-03-05T13:15:49-0500
48,1009153,Angel (Warren Worthington III),2012-05-30T14:06:57-0400
49,1017574,Angela (Aldrif Odinsdottir),2014-11-17T17:45:37-0500
50,1010674,Anita Blake,2004-04-14T00:00:00-0400
51,1009346,Anne Marie Hoag,1969-12-31T19:00:00-0500
52,1009154,Annihilus,2013-11-20T17:06:36-0500
53,1011301,Anole,1969-12-31T19:00:00-0500
54,1010802,Ant-Man (Eric O'Grady),2014-03-05T13:20:04-0500
55,1009155,Ant-Man (Hank Pym),2021-08-05T15:11:25-0400
56,1010801,Ant-Man (Scott Lang),2017-01-31T11:03:40-0500
57,1011208,Anthem,1969-12-31T19:00:00-0500
58,1009156,Apocalypse,2014-05-28T12:41:41-0400
59,1011253,Apocalypse (Ultimate),1969-12-31T19:00:00-0500
60,1010866,Aqueduct,1969-12-31T19:00:00-0500
61,1010773,Arachne,2013-10-24T13:07:59-0400
62,1017438,Araña,2016-03-07T14:41:37-0500
63,1009158,Arcade,1969-12-31T19:00:00-0500
64,1010686,Arcana,1969-12-31T19:00:00-0500
65,1009159,Archangel,2013-10-18T12:48:24-0400
66,1009160,Arclight,1969-12-31T19:00:00-0500
67,1010784,Ares,2014-04-29T14:50:59-0400
68,1011275,Argent,1969-12-31T19:00:00-0500
69,1011012,Armadillo,1969-12-31T19:00:00-0500
70,1011298,Armor (Hisako Ichiki),2012-03-07T17:26:33-0500
71,1010827,Armory,1969-12-31T19:00:00-0500
72,1009740,Arnim Zola,2012-03-20T12:33:28-0400
73,1010748,Arsenic,1969-12-31T19:00:00-0500
74,1009161,Artiee,2011-10-27T09:59:16-0400
75,1010718,Asgardian,1969-12-31T19:00:00-0500
76,1009162,Askew-Tronics,1969-12-31T19:00:00-0500
77,1010835,Asylum,1969-12-31T19:00:00-0500
78,1010336,Atlas (Team),1969-12-31T19:00:00-0500
79,1011758,Attuma,2021-08-27T21:46:12-0400
80,1009163,Aurora,2011-05-10T15:56:51-0400
81,1009164,Avalanche,2010-11-05T14:30:34-0400
82,1009165,Avengers,2020-07-21T10:29:09-0400
83,1015239,Avengers (Ultimate),2012-07-10T19:18:28-0400
84,1011766,Azazel (Mutant),2011-06-09T11:04:52-0400
85,1011456,Balder,2021-08-13T00:06:18-0400
86,1009168,Banshee,2013-11-01T16:27:08-0400
87,1009596,Banshee (Theresa Rourke),2011-03-23T17:37:27-0400
88,1011778,Baron Mordo (Karl Mordo),2021-08-12T22:48:49-0400
89,1009169,Baron Strucker,2012-03-20T12:30:55-0400
90,1009170,Baron Zemo (Heinrich Zemo),2017-08-24T12:46:19-0400
91,1010906,Baron Zemo (Helmut Zemo),2011-02-24T13:21:20-0500
92,1011137,Baroness S'Bak,1969-12-31T19:00:00-0500
93,1011354,Barracuda,1969-12-31T19:00:00-0500
94,1009550,Bart Rozum,1969-12-31T19:00:00-0500
95,1009171,Bastion,2013-10-24T13:07:45-0400
96,1009172,Batroc the Leaper,2011-03-03T11:45:12-0500
97,1009173,Battering Ram,1969-12-31T19:00:00-0500
98,1011785,Battlestar,2021-08-12T23:47:13-0400
99,1009174,Beak,2011-06-01T16:04:59-0400
100,1009175,Beast,2014-01-13T14:48:32-0500
101,1010909,Beast (Earth-311),1969-12-31T19:00:00-0500
102,1010908,Beast (Ultimate),2014-03-05T13:19:55-0500
103,1009176,Becatron,1969-12-31T19:00:00-0500
104,1009177,Bedlam,1969-12-31T19:00:00-0500
105,1009178,Beef,1969-12-31T19:00:00-0500
106,1009179,Beetle (Abner Jenkins),1969-12-31T19:00:00-0500
107,1011793,Belasco,2021-08-27T18:00:45-0400
108,1009329,Ben Grimm,2011-03-18T12:27:31-0400
109,1009489,Ben Parker,1969-12-31T19:00:00-0500
110,1011346,Ben Reilly,1969-12-31T19:00:00-0500
111,1010782,Ben Urich,1969-12-31T19:00:00-0500
112,1010829,Bengal,2013-10-24T13:01:00-0400
113,1009180,Beta-Ray Bill,2013-10-17T14:41:43-0400
114,1011907,Bethany Cabe,2021-08-27T18:12:40-0400
115,1010325,Betty Brant,1969-12-31T19:00:00-0500
116,1009548,Betty Ross,2011-10-31T15:42:18-0400
117,1011138,Beyonder,2013-11-20T17:06:32-0500
118,1011296,Bi-Beast,2011-05-24T16:45:33-0400
119,1010843,Big Bertha,1969-12-31T19:00:00-0500
120,1009181,Big Wheel,2012-12-27T15:37:56-0500
121,1011262,Bill Hollister,1969-12-31T19:00:00-0500
122,1009182,Bishop,2013-10-23T12:43:10-0400
123,1011224,Bishop (Ultimate),1969-12-31T19:00:00-0500
124,1009183,Black Bird,1969-12-31T19:00:00-0500
125,1009184,Black Bolt,2013-10-24T14:39:01-0400
126,1017330,Black Bolt (Marvel War of Heroes),2013-09-18T11:01:06-0400
127,1009185,Black Cat,2016-03-07T10:00:52-0500
128,1010910,Black Cat (Ultimate),1969-12-31T19:00:00-0500
129,1010859,Black Crow,1969-12-31T19:00:00-0500
