,id,firstName,middleName,lastName,suffix,modified
0,12582,Jon,,Sommariva,,1969-12-31T19:00:00-0500
1,12608,Nathan,P.,Butler,,1969-12-31T19:00:00-0500
2,12528,Hugh,,Fleming,,1969-12-31T19:00:00-0500
3,12588,Mike,,Denning,,1969-12-31T19:00:00-0500
4,12522,Doug,,Petrie,,1969-12-31T19:00:00-0500
5,12605,James,,Kolchalka,,1969-12-31T19:00:00-0500
6,12568,Jason,,Hall,,1969-12-31T19:00:00-0500
7,12596,Henry,,Flint,,1969-12-31T19:00:00-0500
8,12617,Tom,,Veitch,,1969-12-31T19:00:00-0500
9,12594,Peter,,Alilunas,,1969-12-31T19:00:00-0500
10,12521,Rod,,Pereira,,1969-12-31T19:00:00-0500
11,12545,Ryder,,Windham,,1969-12-31T19:00:00-0500
12,12567,Christian,,Read,,1969-12-31T19:00:00-0500
13,12513,Dan,,Jackson,,1969-12-31T19:00:00-0500
14,12607,Thomas,,Andrews,,1969-12-31T19:00:00-0500
15,12575,Adrian,,Sibar,,1969-12-31T19:00:00-0500
16,12626,Felipe,,Massafera,,1969-12-31T19:00:00-0500
17,12589,Gilbert,,Austin,,1969-12-31T19:00:00-0500
18,12512,Nicola,,Scott,,1969-12-31T19:00:00-0500
19,12550,Lucas,,Marangon,,1969-12-31T19:00:00-0500
20,12544,Dave,,Cooper,,1969-12-31T19:00:00-0500
21,12548,Dave,,Land,,1969-12-31T19:00:00-0500
22,12536,Doug,,Mahnke,,1969-12-31T19:00:00-0500
23,12542,David,,Land,,1969-12-31T19:00:00-0500
24,12614,Carlos,,Ezquerra,,1969-12-31T19:00:00-0500
25,12623,Bruno,,Redondo,,1969-12-31T19:00:00-0500
26,12616,Mike,,Richardson,,1969-12-31T19:00:00-0500
27,12593,Ben,,Templesmith,,1969-12-31T19:00:00-0500
28,12571,Scott,,Allie,,1969-12-31T19:00:00-0500
29,12577,Scott,,Beatty,,1969-12-31T19:00:00-0500
30,12520,Ken,,Kelly,,1969-12-31T19:00:00-0500
31,12556,Rick,,Neilsen,,1969-12-31T19:00:00-0500
32,12562,Henry,,Gilroy,,1969-12-31T19:00:00-0500
33,12534,Peet,,Janes,,1969-12-31T19:00:00-0500
34,12610,St&#233;phane,,Roux,,1969-12-31T19:00:00-0500
35,12519,Dave,,Dorfman,,1969-12-31T19:00:00-0500
36,12531,Sean,,Cooke,,1969-12-31T19:00:00-0500
37,12615,Mathieu,,Lauffray,,1969-12-31T19:00:00-0500
38,12557,Kellie,,Strom,,1969-12-31T19:00:00-0500
39,12627,Tsuneo,,Sanda,,1969-12-31T19:00:00-0500
40,12613,John,,Wagner,,1969-12-31T19:00:00-0500
41,12540,Adam,,Gallardo,,1969-12-31T19:00:00-0500
42,12587,Tod,C.,Parkhill,,1969-12-31T19:00:00-0500
43,12619,Lui,,Antonio,,1969-12-31T19:00:00-0500
44,12508,Stan,,Manoukian,,1969-12-31T19:00:00-0500
45,12506,Mark,,Shultz,,1969-12-31T19:00:00-0500
46,12537,Mike,,Hansen,,1969-12-31T19:00:00-0500
47,12620,Marc,,Simonetti,,1969-12-31T19:00:00-0500
48,12584,Nathan,,Walker,,1969-12-31T19:00:00-0500
49,12558,Phil,,Amara,,1969-12-31T19:00:00-0500
50,12555,Mark,,Martin,,1969-12-31T19:00:00-0500
51,12609,Hisao,,Tamaki,,1969-12-31T19:00:00-0500
52,12622,Pablo,,Correa,,1969-12-31T19:00:00-0500
53,12527,Carlos,,D'anda,,1969-12-31T19:00:00-0500
54,12564,Glen,,Murakami,,1969-12-31T19:00:00-0500
55,12569,Chris,,Slane,,1969-12-31T19:00:00-0500
56,12565,Philip,,Simon,,1969-12-31T19:00:00-0500
57,12530,Facundo,,Percio,,1969-12-31T19:00:00-0500
58,12552,Tom,,Fassbender,,1969-12-31T19:00:00-0500
59,12533,Víctor,Manuel,Leza,,1969-12-31T19:00:00-0500
60,12578,Kagan,,McLeod,,1969-12-31T19:00:00-0500
61,12516,Walt,,Simonson,,1969-12-31T19:00:00-0500
62,12560,Francisco,,Hererra,,1969-12-31T19:00:00-0500
63,12599,Ken,,Lizzi,,1969-12-31T19:00:00-0500
64,12611,St&#233;phane,,Cr&#233;ty,,1969-12-31T19:00:00-0500
65,12559,Beau,,Smith,,1969-12-31T19:00:00-0500
66,12603,Rick,,Geary,,1969-12-31T19:00:00-0500
67,12597,Stewart,,McKenny,,1969-12-31T19:00:00-0500
68,12602,Núria,,Peris,,1969-12-31T19:00:00-0500
69,12583,Chris,,Cerasi,,1969-12-31T19:00:00-0500
70,12591,Joey,,Mason,,1969-12-31T19:00:00-0500
71,12554,Sean,,Konot,,1969-12-31T19:00:00-0500
72,12598,Dub,,,,1969-12-31T19:00:00-0500
73,12600,Jeremy,,Barlow,,1969-12-31T19:00:00-0500
74,12621,Benjamin,,Carr&#233;,,1969-12-31T19:00:00-0500
75,12507,Christopher,,Moeller,,1969-12-31T19:00:00-0500
76,12606,Shane,,McCarthym,,1969-12-31T19:00:00-0500
77,12625,Tim,,Siedell,,1969-12-31T19:00:00-0500
78,12585,Jay,,Laird,,1969-12-31T19:00:00-0500
79,12546,Rich,,Handley,,1969-12-31T19:00:00-0500
80,12509,Russ,,Manning,,1969-12-31T19:00:00-0500
81,12543,Jim,,Woodring,,1969-12-31T19:00:00-0500
82,12511,Miles,,Lane,,1969-12-31T19:00:00-0500
83,12525,David&#233;,,Fabbri,,1969-12-31T19:00:00-0500
84,12535,Edvin,,Biukovic,,1969-12-31T19:00:00-0500
85,12573,Killian,,Plunkett,,1969-12-31T19:00:00-0500
86,12532,Stephane,,Crety,,1969-12-31T19:00:00-0500
87,12592,Greg,,Titus,,1969-12-31T19:00:00-0500
88,12510,Brian,,Snoddy,,1969-12-31T19:00:00-0500
89,12624,Juan,,Frigeri,,1969-12-31T19:00:00-0500
90,12570,Christina,,Chen,,1969-12-31T19:00:00-0500
91,12539,Isaac,Buckminster,Owens,,1969-12-31T19:00:00-0500
92,12566,Mike,,Kennedy,,1969-12-31T19:00:00-0500
93,12576,N/A,,,,1969-12-31T19:00:00-0500
94,12547,Rich,,Hedden,,1969-12-31T19:00:00-0500
95,12526,Jon,,Foster,,1969-12-31T19:00:00-0500
96,12505,Allen,,Nunis,,1969-12-31T19:00:00-0500
