,id,title,start,end,next,previous,modified
0,334,Inhumans Vs. X-Men,,,,,2016-11-15T11:27:54-0500
1,337,Monsters Unleashed,,,,,2018-05-25T11:16:17-0400
2,327,Star Wars,,,,,2015-01-15T17:18:30-0500
3,328,James Patterson's Max Ride,,,,,2015-03-12T18:22:31-0400
4,329,All-New All-Different Marvel,,,,,2015-10-01T17:37:36-0400
5,330,Civil War II,,,,,2016-05-09T12:48:25-0400
6,270,Secret Wars,1984-05-10 00:00:00,2008-12-17 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/271', 'name': 'Secret Wars II'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/327', 'name': 'Star Wars'}",2013-06-28T16:01:30-0400
7,271,Secret Wars II,1985-07-10 00:00:00,2009-05-13 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/263', 'name': 'Mutant Massacre'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/270', 'name': 'Secret Wars'}",2015-01-21T17:09:37-0500
8,263,Mutant Massacre,1986-10-10 00:00:00,2010-01-06 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/258', 'name': ""Kraven's Last Hunt""}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/271', 'name': 'Secret Wars II'}",2013-06-25T18:42:15-0400
9,258,Kraven's Last Hunt,1987-10-10 00:00:00,2012-03-21 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/231', 'name': 'Armor Wars'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/263', 'name': 'Mutant Massacre'}",2013-10-18T12:38:02-0400
10,231,Armor Wars,1987-12-10 00:00:00,2010-03-17 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/246', 'name': 'Evolutionary War'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/258', 'name': ""Kraven's Last Hunt""}",2014-01-02T12:19:28-0500
11,246,Evolutionary War,1988-01-01 00:00:00,1988-10-10 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/248', 'name': 'Fall of the Mutants'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/231', 'name': 'Armor Wars'}",2013-06-26T14:14:50-0400
12,248,Fall of the Mutants,1988-01-10 00:00:00,2007-01-17 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/252', 'name': 'Inferno'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/246', 'name': 'Evolutionary War'}",2013-06-26T14:14:30-0400
13,252,Inferno,1988-12-10 00:00:00,2010-08-25 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/233', 'name': 'Atlantis Attacks'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/248', 'name': 'Fall of the Mutants'}",2013-12-26T14:33:10-0500
14,233,Atlantis Attacks,1989-01-01 00:00:00,2011-02-16 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/116', 'name': 'Acts of Vengeance!'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/252', 'name': 'Inferno'}",2013-06-25T13:49:06-0400
15,116,Acts of Vengeance!,1989-12-10 00:00:00,2008-01-04 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/240', 'name': 'Days of Future Present'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/233', 'name': 'Atlantis Attacks'}",2013-06-28T16:31:24-0400
16,240,Days of Future Present,1990-01-01 00:00:00,1990-01-23 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/280', 'name': 'X-Tinction Agenda'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/116', 'name': 'Acts of Vengeance!'}",2013-10-18T12:33:05-0400
17,280,X-Tinction Agenda,1990-11-10 00:00:00,1991-01-10 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/32', 'name': 'Kings of Pain'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/240', 'name': 'Days of Future Present'}",2013-06-28T16:52:57-0400
18,32,Kings of Pain,1991-01-01 07:00:00,1992-05-11 07:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/253', 'name': 'Infinity Gauntlet'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/280', 'name': 'X-Tinction Agenda'}",2017-01-26T12:05:41-0500
19,253,Infinity Gauntlet,1991-07-10 00:00:00,2005-01-19 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/29', 'name': 'Infinity War'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/32', 'name': 'Kings of Pain'}",2020-02-28T14:13:02-0500
20,29,Infinity War,1992-06-10 00:00:00,1992-11-10 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/151', 'name': 'Maximum Carnage'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/253', 'name': 'Infinity Gauntlet'}",2014-06-10T16:08:04-0400
21,151,Maximum Carnage,1993-05-01 00:00:00,1993-08-22 00:00:00,"{'resourceURI': 'http://gateway.marvel.com/v1/public/events/249', 'name': 'Fatal Attractions'}","{'resourceURI': 'http://gateway.marvel.com/v1/public/events/29', 'name': 'Infinity War'}",2013-06-25T18:49:10-0400
